Symbol,GICS Sector
MTB US Equity,Financials
MTD US Equity,Healthcare
MUR US Equity,Energy
MXIM US Equity,Information Technology
NBL US Equity,Energy
NBR US Equity,Energy
NC US Equity,Energy
NDAQ US Equity,Financials
NEE US Equity,Utilities
NEM US Equity,Materials
NEU US Equity,Materials
NFLX US Equity,Communication Services
NI US Equity,Utilities
NKE US Equity,Consumer Discretionary
NLSN US Equity,Industrials
NOC US Equity,Industrials
NOV US Equity,Energy
NRG US Equity,Utilities
NSC US Equity,Industrials
NTAP US Equity,Information Technology
NTRS US Equity,Financials
NUE US Equity,Materials
NVDA US Equity,Information Technology
NWL US Equity,Consumer Discretionary
O US Equity,Real Estate
OKE US Equity,Energy
OMC US Equity,Communication Services
ORCL US Equity,Information Technology
ORLY US Equity,Consumer Discretionary
OXY US Equity,Energy
PAYX US Equity,Information Technology
PCAR US Equity,Industrials
PCG US Equity,Utilities
PDCO US Equity,Healthcare
PEG US Equity,Utilities
PEP US Equity,Consumer Staples
PFE US Equity,Healthcare
PFG US Equity,Financials
PG US Equity,Consumer Staples
PGR US Equity,Financials
PH US Equity,Industrials
PHM US Equity,Consumer Discretionary
PKG US Equity,Materials
PKI US Equity,Healthcare
PLD US Equity,Real Estate
PM US Equity,Consumer Staples
PNC US Equity,Financials
PNR US Equity,Industrials
PNW US Equity,Utilities
PPG US Equity,Materials
PPL US Equity,Utilities
PRGO US Equity,Healthcare
PRU US Equity,Financials
PSA US Equity,Real Estate
PSX US Equity,Energy
PTC US Equity,Information Technology
PVH US Equity,Consumer Discretionary
PXD US Equity,Energy
QCOM US Equity,Information Technology
R US Equity,Industrials
RCL US Equity,Consumer Discretionary
RE US Equity,Financials
REG US Equity,Real Estate
REGN US Equity,Healthcare
RHI US Equity,Industrials
RHT US Equity,Information Technology
RJF US Equity,Financials
RL US Equity,Consumer Discretionary
RMD US Equity,Healthcare
ROK US Equity,Industrials
ROP US Equity,Industrials
ROST US Equity,Consumer Discretionary
RRC US Equity,Energy
RRD US Equity,Industrials
RSG US Equity,Industrials
RTN US Equity,Industrials
SBAC US Equity,Real Estate
SBUX US Equity,Consumer Discretionary
SCHW US Equity,Financials
SCI US Equity,Consumer Discretionary
SEE US Equity,Materials
SHW US Equity,Materials
SIG US Equity,Consumer Discretionary
SIVB US Equity,Financials
SJM US Equity,Consumer Staples
SLB US Equity,Energy
SLG US Equity,Real Estate
SNA US Equity,Industrials
SNPS US Equity,Information Technology
SNV US Equity,Financials
SO US Equity,Utilities
SPG US Equity,Real Estate
SPGI US Equity,Financials
SRCL US Equity,Industrials
SRE US Equity,Utilities
STI US Equity,Financials
STT US Equity,Financials
STX US Equity,Information Technology
STZ US Equity,Consumer Staples
SWK US Equity,Industrials
SWKS US Equity,Information Technology
SYK US Equity,Healthcare
SYMC US Equity,Information Technology
SYY US Equity,Consumer Staples
T US Equity,Communication Services
TAP US Equity,Consumer Staples
TDG US Equity,Industrials
TEL US Equity,Information Technology
TEN US Equity,Consumer Discretionary
TER US Equity,Information Technology
TEX US Equity,Industrials
TGNA US Equity,Consumer Discretionary
TGT US Equity,Consumer Discretionary
TIF US Equity,Consumer Discretionary
TJX US Equity,Consumer Discretionary
TKR US Equity,Industrials
TMK US Equity,Financials
TMO US Equity,Healthcare
TPR US Equity,Consumer Discretionary
TRIP US Equity,Communication Services
TROW US Equity,Financials
TRV US Equity,Financials
TSCO US Equity,Consumer Discretionary
TSN US Equity,Consumer Staples
TSS US Equity,Information Technology
TTWO US Equity,Communication Services
TUP US Equity,Consumer Discretionary
TXN US Equity,Information Technology
TXT US Equity,Industrials
UDR US Equity,Real Estate
UHS US Equity,Healthcare
ULTA US Equity,Consumer Discretionary
UN US Equity,Consumer Staples
UNH US Equity,Healthcare
UNM US Equity,Financials
UNP US Equity,Industrials
UPS US Equity,Industrials
URI US Equity,Industrials
USB US Equity,Financials
UTX US Equity,Industrials
V US Equity,Information Technology
VAR US Equity,Healthcare
VFC US Equity,Consumer Discretionary
VIAB US Equity,Communication Services
VLO US Equity,Energy
VMC US Equity,Materials
VNO US Equity,Real Estate
VRSK US Equity,Industrials
VRSN US Equity,Information Technology
VRTX US Equity,Healthcare
VTR US Equity,Real Estate
VZ US Equity,Communication Services
WAT US Equity,Healthcare
WBA US Equity,Consumer Staples
WCG US Equity,Healthcare
WDC US Equity,Information Technology
WEC US Equity,Utilities
WELL US Equity,Real Estate
WFC US Equity,Financials
WHR US Equity,Consumer Discretionary
WLTW US Equity,Financials
WM US Equity,Industrials
WMB US Equity,Energy
WMT US Equity,Consumer Staples
WOR US Equity,Materials
WY US Equity,Real Estate
WYND US Equity,Consumer Discretionary
WYNN US Equity,Consumer Discretionary
X US Equity,Materials
XEC US Equity,Energy
XEL US Equity,Utilities
XLNX US Equity,Information Technology
XOM US Equity,Energy
XRAY US Equity,Healthcare
XYL US Equity,Industrials
YUM US Equity,Consumer Discretionary
ZBH US Equity,Healthcare
ZION US Equity,Financials
ZTS US Equity,Healthcare
